storeid,Vote,,,,,,,,
2587,Yes,,,,,,,,
2303,Yes,,,,,,,,
2118,Yes,,,,,,,,
949,Yes,,,,,,,,
787,Yes,,,,,,,,
696,Yes,,,,,,,,
671,Yes,,,,,,,,
569,Yes,,,,,,,,
564,Yes,,,,,,,,
428,Yes,,,,,,,,
366,Yes,,,,,,,,
207,Yes,,,,,,,,
162,Yes,,,,,,,,
1810,Yes,,,,,,,,
1985,Yes,,,,,,,,
1811,Yes,,,,,,,,
1223,Yes,,,,,,,,
1959,Yes,,,,,,,,
1921,Yes,,,,,,,,
259,Yes,,,,,,,,
505,Yes,,,,,,,,
1372,Yes,,,,,,,,
2332,Yes,,,,,,,,
791,Yes,,,,,,,,
312,Yes,,,,,,,,
197,Yes,,,,,,,,
584,Yes,,,,,,,,
851,Yes,,,,,,,,
1088,Yes,,,,,,,,
938,Yes,,,,,,,,
2199,Yes,,,,,,,,
2159,Yes,,,,,,,,
1849,Yes,,,,,,,,
2169,Yes,,,,,,,,
300,Yes,,,,,,,,
628,Yes,,,,,,,,
608,Yes,,,,,,,,
104,Yes,,,,,,,,
2235,Yes,,,,,,,,
4118,Yes,,,,,,,,
1790,Yes,,,,,,,,
865,Yes,,,,,,,,
455,Yes,,,,,,,,
1600,Yes,,,,,,,,
1121,Yes,,,,,,,,
493,Yes,,,,,,,,
1074,Yes,,,,,,,,
1064,Yes,,,,,,,,
886,Yes,,,,,,,,
731,Yes,,,,,,,,
536,Yes,,,,,,,,
425,Yes,,,,,,,,
1776,Yes,,,,,,,,
1408,Yes,,,,,,,,
1898,Yes,,,,,,,,
398,Yes,,,,,,,,
290,Yes,,,,,,,,
257,Yes,,,,,,,,
2110,Yes,,,,,,,,
624,Yes,,,,,,,,
873,Yes,,,,,,,,
1723,Yes,,,,,,,,
2060,Yes,,,,,,,,
2379,Yes,,,,,,,,
2380,Yes,,,,,,,,
2383,Yes,,,,,,,,
2384,Yes,,,,,,,,
2385,Yes,,,,,,,,
2388,Yes,,,,,,,,
4164,Yes,,,,,,,,
4333,Yes,,,,,,,,
4374,Yes,,,,,,,,
1982,Yes,,,,,,,,
1913,Yes,,,,,,,,
1592,Yes,,,,,,,,
2262,Yes,,,,,,,,
