STATE,CITY,TIMEZONE,UTC-DIFFERENCE
AL,Eoline,CST,"UTC - 6"
AL,Epes,CST,"UTC - 6"
AL,Eprise,CST,"UTC - 6"
AL,Equality,CST,"UTC - 6"
AL,Erin,CST,"UTC - 6"
AL,Estillfork,CST,"UTC - 6"
AL,Ethelsville,CST,"UTC - 6"
AL,Eufaula,CST,"UTC - 6"
AL,Eunola,CST,"UTC - 6"
AL,Eutaw,CST,"UTC - 6"
AL,Eva,CST,"UTC - 6"
AL,Evergreen,CST,"UTC - 6"
AL,Excel,CST,"UTC - 6"
AL,Fabius,CST,"UTC - 6"
AL,Fackler,CST,"UTC - 6"
AL,Fairfax,CST,"UTC - 6"
AL,Fairfield,CST,"UTC - 6"
AL,Fairhope,CST,"UTC - 6"
AL,Falkville,CST,"UTC - 6"
AL,Farmersville,CST,"UTC - 6"
AL,Faunsdale,CST,"UTC - 6"
AL,Fayette,CST,"UTC - 6"
AL,Fellowship,CST,"UTC - 6"
AL,Fernbank,CST,"UTC - 6"
AL,Fishhead,CST,"UTC - 6"
AL,Fitzpatrick,CST,"UTC - 6"
AL,"Five Points",CST,"UTC - 6"
AL,"Flat Rock",CST,"UTC - 6"
AL,Flomaton,CST,"UTC - 6"
AL,Florala,CST,"UTC - 6"
AL,Florence,CST,"UTC - 6"
AL,Foley,CST,"UTC - 6"
AL,"Forest Home",CST,"UTC - 6"
AL,Forestdale,CST,"UTC - 6"
AL,"Forester Chapel",CST,"UTC - 6"
AL,Forkland,CST,"UTC - 6"
AL,"Fort Davis",CST,"UTC - 6"
AL,"Fort Deposit",CST,"UTC - 6"
AL,"Fort Mc Clellan",CST,"UTC - 6"
AL,"Fort Mitchell",EST,"UTC - 5"
AL,"Fort Payne",CST,"UTC - 6"
AL,"Fort Rucker",CST,"UTC - 6"
AL,Fosters,CST,"UTC - 6"
AL,Fountain,CST,"UTC - 6"
AL,Franklin,CST,"UTC - 6"
AL,Frankville,CST,"UTC - 6"
AL,"Frisco City",CST,"UTC - 6"
AL,Fruitdale,CST,"UTC - 6"
AL,Fruithurst,CST,"UTC - 6"
AL,Fulton,CST,"UTC - 6"
AL,"Fulton Springs",CST,"UTC - 6"
AL,Fultondale,CST,"UTC - 6"
AL,Furman,CST,"UTC - 6"
AL,Fyffe,CST,"UTC - 6"
AL,Gadsden,CST,"UTC - 6"
AL,Gainestown,CST,"UTC - 6"
AL,Gainesville,CST,"UTC - 6"
AL,Gallant,CST,"UTC - 6"
AL,Gallion,CST,"UTC - 6"
AL,Gantt,CST,"UTC - 6"
AL,"Garden City",CST,"UTC - 6"
AL,Gardendale,CST,"UTC - 6"
AL,Gateswood,CST,"UTC - 6"
AL,Gaylesville,CST,"UTC - 6"
AL,Geiger,CST,"UTC - 6"
AL,Geneva,CST,"UTC - 6"
AL,Georgetown,CST,"UTC - 6"
AL,Georgiana,CST,"UTC - 6"
AL,Geraldine,CST,"UTC - 6"
AL,Gibsonville,CST,"UTC - 6"
AL,Gilbertown,CST,"UTC - 6"
AL,"Glen Allen",CST,"UTC - 6"
AL,"Glen City",CST,"UTC - 6"
AL,Glencoe,CST,"UTC - 6"
AL,Glenwood,CST,"UTC - 6"
AL,Goldville,CST,"UTC - 6"
AL,Goodsprings,CST,"UTC - 6"
AL,Goodwater,CST,"UTC - 6"
AL,Goodway,CST,"UTC - 6"
AL,Gordo,CST,"UTC - 6"
AL,Gordon,CST,"UTC - 6"
AL,Goshen,CST,"UTC - 6"
AL,Gosport,CST,"UTC - 6"
AL,Grady,CST,"UTC - 6"
AL,Graham,CST,"UTC - 6"
AL,"Grand Bay",CST,"UTC - 6"
AL,Grangeburg,CST,"UTC - 6"
AL,Grant,CST,"UTC - 6"
AL,Gravleeton,CST,"UTC - 6"
AL,Grayson,CST,"UTC - 6"
AL,"Grayson Valley",CST,"UTC - 6"
AL,Graysville,CST,"UTC - 6"
AL,"Green Pond",CST,"UTC - 6"
AL,Greensboro,CST,"UTC - 6"
AL,Greenville,CST,"UTC - 6"
AL,Grimes,CST,"UTC - 6"
AL,"Grove Hill",CST,"UTC - 6"
AL,Groveoak,CST,"UTC - 6"
AL,Guin,CST,"UTC - 6"
AL,"Gulf Crest",CST,"UTC - 6"
AL,"Gulf Shores",CST,"UTC - 6"
AL,Guntersville,CST,"UTC - 6"
AL,Gurley,CST,"UTC - 6"
AL,Hackleburg,CST,"UTC - 6"
AL,Hacoda,CST,"UTC - 6"
AL,Haleburg,CST,"UTC - 6"
AL,Haleyville,CST,"UTC - 6"
AL,Hamilton,CST,"UTC - 6"
AL,Hammondville,CST,"UTC - 6"
AL,"Hampton Cove",CST,"UTC - 6"
AL,Hanceville,CST,"UTC - 6"
AL,Hardaway,CST,"UTC - 6"
AL,"Harkins Crossroads",CST,"UTC - 6"
AL,Harpersville,CST,"UTC - 6"
AL,Harrisburg,CST,"UTC - 6"
AL,Hartford,CST,"UTC - 6"
AL,Hartselle,CST,"UTC - 6"
AL,Harvest,CST,"UTC - 6"
AL,Hatchechubbee,CST,"UTC - 6"
AL,Havana,CST,"UTC - 6"
AL,Hawk,CST,"UTC - 6"
AL,Hawthorn,CST,"UTC - 6"
AL,Hayden,CST,"UTC - 6"
AL,Hayneville,CST,"UTC - 6"
AL,Haywood,CST,"UTC - 6"
AL,"Hazel Green",CST,"UTC - 6"
AL,Headland,CST,"UTC - 6"
AL,"Healing Springs",CST,"UTC - 6"
AL,Heflin,CST,"UTC - 6"
AL,Helena,CST,"UTC - 6"
AL,Henagar,CST,"UTC - 6"
AL,"Heron Bay",CST,"UTC - 6"
AL,Higdon,CST,"UTC - 6"
AL,Highbluff,CST,"UTC - 6"
AL,Highland,CST,"UTC - 6"
AL,"Highland Home",CST,"UTC - 6"
AL,"Highland Lake",CST,"UTC - 6"
AL,Hightower,CST,"UTC - 6"
AL,Hillsboro,CST,"UTC - 6"
AL,Hodges,CST,"UTC - 6"
AL,Hodgesville,CST,"UTC - 6"
AL,"Hokes Bluff",CST,"UTC - 6"
AL,Hollins,CST,"UTC - 6"
AL,"Hollis Crossroads",CST,"UTC - 6"
AL,"Holly Pond",CST,"UTC - 6"
AL,Hollytree,CST,"UTC - 6"
AL,Hollywood,CST,"UTC - 6"
AL,"Holman Station",CST,"UTC - 6"
AL,Holt,CST,"UTC - 6"
AL,"Holy Trinity",CST,"UTC - 6"
AL,Homewood,CST,"UTC - 6"
AL,Honoraville,CST,"UTC - 6"
AL,"Hoods Crossroads",CST,"UTC - 6"
AL,Hoover,CST,"UTC - 6"
AL,"Hope Hull",CST,"UTC - 6"
AL,Hopewell,CST,"UTC - 6"
AL,Horton,CST,"UTC - 6"
AL,Houston,CST,"UTC - 6"
AL,Hueytown,CST,"UTC - 6"
AL,Huffman,CST,"UTC - 6"
AL,"Huggers Landing",CST,"UTC - 6"
AL,Huntsville,CST,"UTC - 6"
AL,Hurtsboro,CST,"UTC - 6"
AL,Huxford,CST,"UTC - 6"
AL,Hybart,CST,"UTC - 6"
AL,Hytop,CST,"UTC - 6"
AL,Idaho,CST,"UTC - 6"
AL,Ider,CST,"UTC - 6"
AL,"Indian Springs",CST,"UTC - 6"
AL,Irondale,CST,"UTC - 6"
AL,Irvington,CST,"UTC - 6"
AL,Ivalee,CST,"UTC - 6"
AL,Jachin,CST,"UTC - 6"
AL,Jack,CST,"UTC - 6"
AL,Jackson,CST,"UTC - 6"
AL,"Jacksons Gap",CST,"UTC - 6"
AL,Jacksonville,CST,"UTC - 6"
AL,Jasper,CST,"UTC - 6"
AL,Jefferson,CST,"UTC - 6"
AL,"Jefferson Park",CST,"UTC - 6"
AL,Jemison,CST,"UTC - 6"
AL,Jones,CST,"UTC - 6"
AL,Joppa,CST,"UTC - 6"
AL,Josephine,CST,"UTC - 6"
AL,Kansas,CST,"UTC - 6"
AL,Keego,CST,"UTC - 6"
AL,Kellerman,CST,"UTC - 6"
AL,"Kelly Springs",CST,"UTC - 6"
AL,Kellyton,CST,"UTC - 6"
AL,Kennedy,CST,"UTC - 6"
AL,Kent,CST,"UTC - 6"
AL,Killen,CST,"UTC - 6"
AL,Kimberly,CST,"UTC - 6"
AL,Kingville,CST,"UTC - 6"
AL,Kinsey,CST,"UTC - 6"
AL,Kinston,CST,"UTC - 6"
AL,Knoxville,CST,"UTC - 6"
