STATE,CITY,STANDARD_TZ,DAYLIGHT_TZ,UTC_STANDARD,UTC_DAYLIGHT,START_DAYLIGHT,END_DAYLIGHT
AL,Boykin,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bradley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Branchville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brantley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bremen,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brent,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brewton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bridgeport,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brierfield,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brighton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brilliant,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bromley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Brookley Field",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brooklyn,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brookside,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brookwood,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brownsboro,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Brundidge,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bryant,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bucks,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Buena Vista",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Buhl,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Burkville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Burnt Corn",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Burntout,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Burnwell,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Butler,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bynum,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Cahaba Heights",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Calera,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Calvert,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
